State,Gas,MidGrade,Premium,Diesel,State Code,State Latitude,State Longitude,GDP per capita,Mean Distance (km),Min Distance (km),Refinery Count,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES,TOTAL MOTOR VEHICLES
Alaska,2.42,2.516,2.672,2.389,AK,64.2008413,-149.4936733,73205.0,6679.875942933611,214.39707757443716,4.0,169412,4075,173487,7496,584,8080,573399,17680,591079,31852,7,31859,804505
Alabama,1.79,2.124,2.446,2.279,AL,32.3182314,-86.902298,45219.0,2878.0488609172016,162.19777582925857,3.0,2021395,44068,2065463,5550,132,5682,2806624,66119,2872743,111247,938,112185,5056073
Arkansas,1.794,2.07,2.354,2.127,AR,35.20105,-91.8318334,42454.0,2449.5919092148038,260.7606067870606,1.0,914265,12524,926789,11229,712,11941,1778174,27336,1805510,89457,— ,89457,2833697
Arizona,2.286,2.553,2.808,2.505,AZ,34.0489281,-111.0937311,48055.0,3335.455721080436,512.5680734675277,,2371199,20425,2391624,1508,7543,9051,3356363,43341,3399704,164053,2,164055,5964434
California,2.989,3.161,3.276,3.284,CA,36.778261,-119.4179324,74205.0,4095.681541888623,167.58130376549522,16.0,14615499,245468,14860967,35253,64664,99917,14693888,297826,14991714,828083,14460,842543,30795141
Colorado,2.302,2.602,2.872,2.278,CO,39.5500507,-105.7820674,63882.0,2782.2285871780605,143.92182400643603,1.0,1768221,16837,1785058,5998,7307,13305,3231050,40545,3271595,190002,— ,190002,5259960
Connecticut,2.065,2.435,2.664,2.73,CT,41.6032207,-73.087749,76342.0,4346.050816331047,217.69939073910334,,1301153,1186,1302339,11342,36,11378,1417371,5131,1422502,90111,20,90131,2826350
District of Columbia,2.187,2.655,2.827,2.808,DC,38.9071923,-77.0368707,200277.0,3843.4541844884443,251.61659831664133,,191723,16418,208141,1002,3883,4885,113857,14843,128700,3897,393,4290,346016
Delaware,1.985,2.38,2.599,2.31,DE,38.9108325,-75.52766989999999,77253.0,4041.4449971195904,77.94905715510987,1.0,417700,1499,419199,3335,428,3763,516931,3030,519961,27810,— ,27810,970733
Florida,2.014,2.363,2.652,2.432,FL,27.6648274,-81.5157535,48318.0,3736.176677405501,494.11783085075376,,7670861,107632,7778493,25004,34592,59596,8396619,138294,8534913,583685,2582,586267,16959269
Georgia,1.883,2.192,2.504,2.488,GA,32.1656221,-82.9000751,55832.0,3331.3444025025497,333.0631904571803,1.0,3481721,54334,3536055,12164,24254,36418,4583971,81959,4665930,203064,858,203922,8442325
Hawaii,3.193,3.341,3.551,4.015,HI,19.8967662,-155.5827818,64096.0,10393.818488515084,545.900550311627,1.0,504605,7781,512386,1745,1288,3033,693360,15186,708546,35203,373,35576,1259541
Iowa,2.036,2.166,2.582,2.171,IA,41.8780025,-93.097702,59977.0,2464.3555969290114,320.98661126251795,,1257304,11692,1268996,3945,5339,9284,2253531,23663,2277194,194273,330,194603,3750077
Idaho,2.301,2.474,2.669,2.34,ID,44.0682019,-114.7420408,43430.0,3504.5173830195135,584.1487634574084,,547567,2439,550006,3243,627,3870,1208288,10442,1218730,63266,31,63297,1835903
Illinois,2.308,2.644,3.034,2.408,IL,40.6331249,-89.3985283,67268.0,2582.925433988842,220.38032887313034,4.0,4617096,38748,4655844,34177,182,34359,5806097,60517,5866614,333943,— ,333943,10890760
Indiana,2.099,2.398,2.72,2.509,IN,40.2671941,-86.1349019,55172.0,2816.345966354222,274.4561262757908,2.0,2258547,2893,2261440,7227,13498,20725,3627258,10032,3637290,250579,— ,250579,6170034
Kansas,1.876,2.124,2.349,2.073,KS,39.011902,-98.4842465,56334.0,2433.0994369999144,160.0015037209096,2.0,983245,4014,987259,3961,2267,6228,1618733,9761,1628494,95892,— ,95892,2717873
Kentucky,1.99,2.308,2.623,2.331,KY,37.8393332,-84.2700179,46898.0,3006.858434843748,104.84114233788509,2.0,1659583,31502,1691085,1406,9353,10759,2439925,50273,2490198,101085,78,101163,4293205
Louisiana,1.754,2.059,2.364,2.247,LA,30.9842977,-91.96233269999999,53589.0,2538.3585781882193,65.48938393445995,16.0,1360611,28825,1389436,22183,6977,29160,2320545,54007,2374552,113664,— ,113664,3906812
Massachusetts,2.041,2.397,2.599,2.629,MA,42.4072107,-71.3824374,82480.0,4588.119287839456,511.42199510528445,,2204455,4013,2208468,13255,243,13498,2662640,11684,2674324,168931,— ,168931,5065221
Maryland,2.1,2.534,2.768,2.39,MD,39.0457549,-76.64127119999999,68573.0,3891.1468151820095,181.94852196753965,,1977742,29162,2006904,15233,7739,22972,2167715,41730,2209445,118201,76,118277,4357598
Maine,2.06,2.382,2.624,2.519,ME,45.253783,-69.4454689,47969.0,4822.261647996216,930.1824072046244,,383228,4005,387233,1313,3026,4339,643010,8339,651349,51466,1,51467,1094388
Michigan,2.103,2.402,2.736,2.447,MI,44.3148443,-85.60236429999999,53209.0,2920.526848677143,424.8843053350953,1.0,3233241,24232,3257473,3397,5340,8737,4947020,46380,4993400,258487,— ,258487,8518097
Minnesota,2.01,2.217,2.534,2.321,MN,46.729553,-94.6858998,64675.0,2596.602152329765,334.78182403732393,2.0,2129307,16880,2146187,14338,5642,19980,3243782,31148,3274930,241556,— ,241556,5682653
Missouri,1.848,2.077,2.337,2.006,MO,37.9642529,-91.8318334,51699.0,2445.580116724138,321.4512161323418,,2122581,18469,2141050,27057,123,27180,3227854,34358,3262212,138294,— ,138294,5568736
