rank,US States,GDP per capita (current dollars)
—,District of Columbia,"200,277"
1,New York,"85,746"
2,Massachusetts,"82,480"
3,Delaware,"77,253"
4,Connecticut,"76,342"
5,California,"74,205"
6,Washington,"74,182"
7,Alaska,"73,205"
8,North Dakota,"72,597"
9,Wyoming,"69,900"
10,New Jersey,"69,378"
11,Maryland,"68,573"
12,Illinois,"67,268"
13,Minnesota,"64,675"
14,Hawaii,"64,096"
15,Nebraska,"63,942"
16,Colorado,"63,882"
17,New Hampshire,"63,067"
18,Virginia,"62,563"
—,United States,"62,390"
19,Pennsylvania,"61,594"
20,Texas,"61,167"
21,Iowa,"59,977"
22,South Dakota,"58,624"
23,Rhode Island,"57,852"
24,Wisconsin,"57,720"
25,Ohio,"57,492"
26,Oregon,"56,956"
27,Kansas,"56,334"
28,Georgia,"55,832"
29,Utah,"55,550"
30,Nevada,"55,269"
31,Indiana,"55,172"
32,North Carolina,"54,441"
33,Tennessee,"53,933"
34,Louisiana,"53,589"
35,Vermont,"53,523"
36,Michigan,"53,209"
37,Missouri,"51,699"
38,Oklahoma,"50,613"
39,Florida,"48,318"
40,Arizona,"48,055"
41,Maine,"47,969"
42,New Mexico,"46,954"
43,Kentucky,"46,898"
44,Montana,"46,609"
45,South Carolina,"45,280"
46,Alabama,"45,219"
47,Idaho,"43,430"
48,West Virginia,"43,053"
49,Arkansas,"42,454"
50,Mississippi,"37,948"
