STATE,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES
Alabama,2021395,44068,2065463,5550,132,5682,2806624,66119,2872743,111247,938,112185
Alaska,169412,4075,173487,7496,584,8080,573399,17680,591079,31852,7,31859
Arizona,2371199,20425,2391624,1508,7543,9051,3356363,43341,3399704,164053,2,164055
Arkansas,914265,12524,926789,11229,712,11941,1778174,27336,1805510,89457,— ,89457
California,14615499,245468,14860967,35253,64664,99917,14693888,297826,14991714,828083,14460,842543
Colorado,1768221,16837,1785058,5998,7307,13305,3231050,40545,3271595,190002,— ,190002
Connecticut,1301153,1186,1302339,11342,36,11378,1417371,5131,1422502,90111,20,90131
Delaware,417700,1499,419199,3335,428,3763,516931,3030,519961,27810,— ,27810
District of Columbia,191723,16418,208141,1002,3883,4885,113857,14843,128700,3897,393,4290
Florida,7670861,107632,7778493,25004,34592,59596,8396619,138294,8534913,583685,2582,586267
Georgia,3481721,54334,3536055,12164,24254,36418,4583971,81959,4665930,203064,858,203922
Hawaii,504605,7781,512386,1745,1288,3033,693360,15186,708546,35203,373,35576
Idaho,547567,2439,550006,3243,627,3870,1208288,10442,1218730,63266,31,63297
Illinois,4617096,38748,4655844,34177,182,34359,5806097,60517,5866614,333943,— ,333943
Indiana,2258547,2893,2261440,7227,13498,20725,3627258,10032,3637290,250579,— ,250579
Iowa,1257304,11692,1268996,3945,5339,9284,2253531,23663,2277194,194273,330,194603
Kansas,983245,4014,987259,3961,2267,6228,1618733,9761,1628494,95892,— ,95892
Kentucky,1659583,31502,1691085,1406,9353,10759,2439925,50273,2490198,101085,78,101163
Louisiana,1360611,28825,1389436,22183,6977,29160,2320545,54007,2374552,113664,— ,113664
Maine,383228,4005,387233,1313,3026,4339,643010,8339,651349,51466,1,51467
Maryland,1977742,29162,2006904,15233,7739,22972,2167715,41730,2209445,118201,76,118277
Massachusetts,2204455,4013,2208468,13255,243,13498,2662640,11684,2674324,168931,— ,168931
Michigan,3233241,24232,3257473,3397,5340,8737,4947020,46380,4993400,258487,— ,258487
Minnesota,2129307,16880,2146187,14338,5642,19980,3243782,31148,3274930,241556,— ,241556
Mississippi,820128,2736,822864,2023,5995,8018,1190809,7661,1198470,28124,— ,28124
Missouri,2122581,18469,2141050,27057,123,27180,3227854,34358,3262212,138294,— ,138294
Montana,440809,583,441392,4538,164,4702,1104946,6223,1111169,256587,4,306655
Nebraska,662491,14549,677040,13526,38,13564,1190469,28296,1218765,55716,20,55736
Nevada,1039514,7994,1047508,504,2694,3198,1313087,15617,1328704,76027,5,76032
New Hampshire,502617,2764,505381,566,2305,2871,726620,5447,732067,78702,96,78798
New Jersey,2774916,23783,2798699,22867,2230,25097,3045425,35511,3080936,152979,— ,152979
New Mexico,601647,7847,609494,6071,207,6278,1043650,22862,1066512,57718,— ,57718
New York,4541749,21286,4563035,74639,5807,80446,5780052,41744,5821796,392176,2,392178
North Carolina,3271128,46790,3317918,11653,20840,32493,4458666,72797,4531463,188580,263,188843
North Dakota,272290,4255,276545,1457,1874,3331,711318,13623,724941,51927,14,51941
Ohio,4561052,44407,4605459,34699,6556,41255,5686290,66056,5752346,410165,22,410187
Oklahoma,1330082,7542,1337624,1870,1285,3155,2249920,17289,2267209,136189,1,136190
Oregon,1517573,24888,1542461,8541,9150,17691,2354242,46319,2400561,141987,751,142738
Pennsylvania,4415164,48103,4463267,53192,2743,55935,5719230,73616,5792846,376390,768,377158
Rhode Island,413227,7086,420313,1872,401,2273,410744,8570,419314,30814,100,30914
South Carolina,1725328,83073,1808401,5476,12252,17728,2342149,117690,2459839,117660,472,118132
South Dakota,347216,5964,353180,— ,2614,2614,769748,15353,785101,116807,654,117461
Tennessee,2274107,50897,2325004,2918,26240,29158,3201416,78943,3280359,163619,2349,165968
Texas,8084454,92425,8176879,18425,48718,67143,13341345,180708,13522053,363764,926,364690
Utah,914321,10731,925052,2460,3649,6109,1319576,21043,1340619,83792,201,83993
Vermont,217906,4030,221936,322,748,1070,360231,7416,367647,30955,— ,30955
Virginia,3206183,45156,3251339,8322,25946,34268,3964313,70613,4034926,193298,653,193951
Washington,2854542,71223,2925765,5441,18125,23566,3963375,112089,4075464,231400,1,231401
West Virginia,550117,12867,562984,244,3098,3342,1037704,26625,1064329,59236,1346,60582
Wisconsin,2058730,33854,2092584,15563,4,15567,3108154,55660,3163814,324260,410,324670
Wyoming,190149,3374,193523,2665,1554,4219,579881,12674,592555,28956,4,28960
