states,gasoline,midGrade,premium,diesel
Alaska,2.301,2.402,2.570,2.357
Alabama,1.672,1.999,2.332,2.262
Arkansas,1.676,1.961,2.245,2.101
Arizona,2.197,2.478,2.732,2.501
California,2.922,3.096,3.213,3.262
Colorado,2.149,2.445,2.715,2.271
Connecticut,1.978,2.372,2.601,2.718
District of Columbia,2.132,2.657,2.735,2.808
Delaware,1.910,2.306,2.526,2.294
Florida,1.894,2.265,2.552,2.428
Georgia,1.768,2.086,2.394,2.476
Hawaii,3.197,3.358,3.542,4.027
Iowa,1.916,2.048,2.464,2.132
Idaho,2.244,2.421,2.616,2.348
Illinois,2.252,2.604,2.996,2.404
Indiana,2.011,2.300,2.623,2.506
Kansas,1.714,1.951,2.206,2.045
Kentucky,1.864,2.180,2.493,2.314
Louisiana,1.667,1.967,2.272,2.239
Massachusetts,1.995,2.358,2.567,2.626
Maryland,2.029,2.482,2.709,2.382
Maine,1.968,2.308,2.554,2.530
Michigan,1.971,2.292,2.624,2.446
Minnesota,1.912,2.129,2.446,2.308
Missouri,1.681,1.923,2.192,2.010
Mississippi,1.615,1.916,2.240,2.099
Montana,1.874,2.094,2.352,2.156
North Carolina,1.838,2.180,2.498,2.418
North Dakota,1.868,2.063,2.281,2.027
Nebraska,1.855,1.956,2.294,2.141
New Hampshire,1.957,2.346,2.606,2.512
New Jersey,2.034,2.444,2.631,2.518
New Mexico,1.882,2.176,2.413,2.375
Nevada,2.480,2.685,2.863,2.579
New York,2.188,2.518,2.750,2.830
Ohio,1.979,2.304,2.635,2.439
Oklahoma,1.685,1.934,2.123,1.958
Oregon,2.466,2.636,2.814,2.572
Pennsylvania,2.248,2.559,2.839,2.734
Rhode Island,1.986,2.402,2.609,2.695
South Carolina,1.698,2.039,2.350,2.264
South Dakota,1.886,1.960,2.283,2.139
Tennessee,1.731,2.057,2.380,2.311
Texas,1.661,1.981,2.268,2.091
Utah,2.255,2.412,2.575,2.340
Virginia,1.763,2.171,2.461,2.360
Vermont,1.974,2.372,2.661,2.481
Washington,2.553,2.775,2.928,2.669
Wisconsin,1.907,2.226,2.610,2.036
West Virginia,1.934,2.207,2.503,2.364
Wyoming,1.979,2.192,2.426,2.310
