,Refinery,Refinery Lat,Refinery Lng
0,Atmore Refinery ,31.1810325,-87.43946110000002
1,Saraland Refinery ,30.807599,-88.064032
2,Tuscaloosa Refinery ,33.1971268,-87.6049456
3,Kenai Refinery ,60.6865684,-151.3695127
4,North Pole Refinery ,64.7333483,-147.3435
5,Prudhoe Bay Refinery ,70.41049579999999,-148.9721164
6,Valdez Refinery ,61.0829366,-146.2479664
7,Smackover Refinery ,33.3640458,-92.714013
8,Bakersfield Refinery ,35.3953453,-119.0472571
9,Benicia Refinery ,38.0741298,-122.1447467
10,Carson Refinery ,33.8228302,-118.2430538
11,El Segundo Refinery ,33.916202,-118.4173021
12,Golden Eagle Refinery ,38.023901,-122.0634706
13,Long Beach Refinery ,33.77359,-118.2134246
14,Los Angeles Refinery ,33.806137,-118.2464089
15,Martinez Refinery ,38.0228881,-122.1247482
16,Paramount Refinery ,33.8019676,-118.1504211
17,Richmond Refinery ,37.9320914,-122.3911435
18,San Francisco Refinery ,38.0458967,-122.2586438
19,Santa Maria Refinery ,35.038992,-120.5897141
20,South Gate Refinery ,33.945251,-118.16547
21,Torrance Refinery ,33.8533018,-118.3359197
22,Wilmington Asphalt Refinery ,34.18291300000001,-77.947738
23,Wilmington Refinery ,33.7772596,-118.231299
24,"Commerce City Refinery ,",39.795546,-104.956524
25,Delaware City Refinery ,39.5884694,-75.6435809
26,Savannah Refinery ,32.0587034,-81.13295389999999
27,Kapolei Refinery ,21.3052387,-158.0951272
28,Lemont Refinery ,41.6418435,-88.0504478
29,Joliet Refinery ,41.4128647,-88.1908856
30,Robinson Refinery ,39.0032969,-87.726154
31,Wood River Refinery ,38.8373137,-90.0733856
32,Whiting Refinery ,41.6624675,-87.4832311
33,Mount Vernon Refinery ,37.94182199999999,-87.9099509
34,Coffeyville Refinery ,37.0447877,-95.6028845
35,McPherson Refinery ,38.3465822,-97.6670402
36,Catlettsburg Refinery ,38.3735968,-82.59934179999999
37,Somerset Refinery ,37.0693033,-84.6127233
38,Alliance Refinery ,29.6800289,-89.9773847
39,Baton Rouge Refinery ,30.4860721,-91.1697231
40,Chalmette Refinery ,29.9377997,-89.9710298
41,Convent Refinery ,30.1080661,-90.8930106
42,Cotton Valley Refinery ,32.7973978,-93.41480580000001
43,Garyville Refinery ,30.065417,-90.5952358
44,Krotz Springs Refinery ,30.5274372,-91.7460708
45,Lake Charles Refinery ,30.1345326,-93.31824449999999
46,"Lake Charles Refinery,",30.1345326,-93.31824449999999
47,Meraux Refinery ,29.9300125,-89.94372589999999
48,"Norco Refinery ,",29.9958918,-90.4095445
49,Port Allen Refinery ,30.476694,-91.210876
50,Princeton Refinery ,32.590209,-93.5137252
51,Shreveport Refinery ,32.501895,-93.74475699999999
52,St. Charles Refinery ,29.9863603,-90.3924576
54,Marathon Detroit Refinery ,42.2891644,-83.1545671
55,Pine Bend Refinery ,44.76350920000001,-93.0405948
56,St. Paul Park Refinery ,44.85280100000001,-92.99727899999999
57,Pascagoula Refinery ,30.3440132,-88.4931477
58,Vicksburg Refinery ,32.3882025,-90.90840969999999
61,Billings Refinery ,45.8094069,-108.4320478
62,Calumet Montana Refining ,47.5238418,-111.2905655
63,Laurel Refinery ,45.6588295,-108.7694499
64,Eagle Springs Refinery ,38.6226732,-115.6198473
65,Bayway Refinery ,40.6400688,-74.2191707
66,Eagle Point Refinery ,39.8618159,-75.1524859
67,Paulsboro Asphalt Refinery ,39.84148920000001,-75.227544
68,Paulsboro Refinery ,39.8363695,-75.2509316
69,Perth Amboy Refinery ,40.5344974,-74.26047559999999
70,Port Reading Refinery ,40.5588607,-74.2399444
71,Navajo Refinery ,32.8447877,-104.3925028
73,Ciniza Refinery ,35.4869223,-108.4275321
74,Mandan Refinery ,46.85422759999999,-100.886846
75,Dakota Prairie Refinery ,46.8550921,-102.9100316
76,Canton Refinery ,40.7750762,-81.41311
78,Toledo Refinery ,41.6289966,-83.50501969999999
79,Toledo Refinery  ,41.6289966,-83.50501969999999
80,Ardmore Refinery ,34.204122,-97.11016690000001
81,Ponca City Refinery ,36.6759973,-97.0758403
82,Tulsa Refinery East & West ,36.1224462,-96.0001597
83,Wynnewood Refinery ,34.6348751,-97.16813069999999
84,Bradford Refinery ,41.9662696,-78.6284261
85,Marcus Hook Refinery ,39.8120162,-75.4145805
86,Philadelphia Refinery ,39.9167478,-75.2017255
87,Trainer Refinery ,39.8229984,-75.40870120000001
88,Warren Refinery ,41.82923359999999,-79.1245636
90,Memphis Refinery ,35.0865543,-90.079549
91,Baytown Refinery ,29.7453125,-95.0028631
92,Big Spring Refinery ,32.267009,-101.4204937
93,Beaumont Refinery ,30.0666243,-94.07619340000001
94,Borger Refinery ,35.6899051,-101.3632993
95,Corpus Christi Complex ,27.7057442,-97.43125979999999
96,Corpus Christi Refinery ,27.8071928,-97.44650209999999
97,Corpus Christi East & West Refinery ,27.8415356,-97.52126969999999
98,Deer Park Refinery ,29.7137233,-95.1257897
99,El Paso Refinery ,31.7700959,-106.4130376
100,Houston Refinery ,29.7097329,-95.2361292
102,McKee Refinery ,35.9513091,-101.8777097
104,Pasadena Refinery ,29.7191315,-95.2105168
105,"Port Arthur Refinery ,",29.8885998,-93.95101030000001
106,Port Arthur Refinery ,29.8885998,-93.95101030000001
107,San Antonio Refinery ,29.3451271,-98.443428
108,Sweeny Refinery ,29.0739499,-95.74887910000001
109,Texas City Refinery ,29.3688933,-94.9133607
110,Sullivan Three Rivers Refinery ,28.4612537,-98.1855095
111,Tyler Refinery ,32.3564188,-95.27977299999999
112,North Salt Lake Refinery ,40.8297902,-111.9356153
113,Salt Lake City Refinery ,40.7891907,-111.9037248
114,Woods Cross Refinery ,40.8836951,-111.9078252
115,Shell Anacortes Refinery ,48.4656865,-122.5599202
116,Marathon Anacortes Refinery ,48.4963294,-122.5667318
117,Cherry Point Refinery ,48.8910174,-122.72935
118,Ferndale Refinery ,48.8327413,-122.6926866
119,Tacoma Refinery ,47.2568949,-122.3949222
120,Newell Refinery ,40.6119148,-80.6286315
121,Superior Refinery ,46.6898894,-92.068304
122,Cheyenne Refinery ,41.1273486,-104.7904729
124,Evanston Refinery ,41.9897673,-87.7314186
125,Newcastle Refinery ,43.8503656,-104.2138862
126,Sinclair Wyoming Refinery ,41.7818457,-107.1087498
127,Sinclair Casper Refinery ,42.8562986,-106.2437619
