State,Gas,MidGrade,Premium,Diesel,State Code,State Latitude,State Longitude,GDP per capita,Mean Distance (km),Min Distance (km),Refinery Count,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES,TOTAL MOTOR VEHICLES
Alaska,2.388,2.503,2.645,2.385,AK,64.2008413,-149.4936733,73205.0,6724.563505606247,214.39707757443716,4.0,169412,4075,173487,7496,584,8080,573399,17680,591079,31852,7,31859,804505
Alabama,1.779,2.104,2.43,2.279,AL,32.3182314,-86.902298,45219.0,2841.292038331603,162.19777582925857,3.0,2021395,44068,2065463,5550,132,5682,2806624,66119,2872743,111247,938,112185,5056073
Arkansas,1.78,2.055,2.342,2.123,AR,35.20105,-91.8318334,42454.0,2455.2634408538943,260.7606067870606,1.0,914265,12524,926789,11229,712,11941,1778174,27336,1805510,89457,— ,89457,2833697
Arizona,2.264,2.539,2.792,2.504,AZ,34.0489281,-111.0937311,48055.0,3439.2918132272584,512.5680734675277,,2371199,20425,2391624,1508,7543,9051,3356363,43341,3399704,164053,2,164055,5964434
California,2.977,3.15,3.265,3.283,CA,36.778261,-119.4179324,74205.0,4220.963239033232,167.58130376549522,16.0,14615499,245468,14860967,35253,64664,99917,14693888,297826,14991714,828083,14460,842543,30795141
Colorado,2.283,2.585,2.853,2.279,CO,39.5500507,-105.7820674,63882.0,2857.987136421284,143.92182400643603,1.0,1768221,16837,1785058,5998,7307,13305,3231050,40545,3271595,190002,— ,190002,5259960
Connecticut,2.056,2.425,2.651,2.729,CT,41.6032207,-73.087749,76342.0,4201.403441789137,172.62085534247723,,1301153,1186,1302339,11342,36,11378,1417371,5131,1422502,90111,20,90131,2826350
District of Columbia,2.178,2.698,2.825,2.813,DC,38.9071923,-77.0368707,200277.0,3718.264705666466,251.61659831664133,,191723,16418,208141,1002,3883,4885,113857,14843,128700,3897,393,4290,346016
Delaware,1.991,2.387,2.597,2.305,DE,38.9108325,-75.52766989999999,77253.0,3905.4027137903763,77.94905715510987,1.0,417700,1499,419199,3335,428,3763,516931,3030,519961,27810,— ,27810,970733
Florida,2.008,2.357,2.642,2.431,FL,27.6648274,-81.5157535,48318.0,3658.4950120115873,494.11783085075376,,7670861,107632,7778493,25004,34592,59596,8396619,138294,8534913,583685,2582,586267,16959269
Georgia,1.855,2.166,2.467,2.487,GA,32.1656221,-82.9000751,55832.0,3258.8352676950553,333.0631904571803,1.0,3481721,54334,3536055,12164,24254,36418,4583971,81959,4665930,203064,858,203922,8442325
Hawaii,3.201,3.358,3.57,4.012,HI,19.8967662,-155.5827818,64096.0,10489.505287742084,545.900550311627,1.0,504605,7781,512386,1745,1288,3033,693360,15186,708546,35203,373,35576,1259541
Iowa,2.033,2.16,2.572,2.162,IA,41.8780025,-93.097702,59977.0,2468.0806928243887,320.98661126251795,,1257304,11692,1268996,3945,5339,9284,2253531,23663,2277194,194273,330,194603,3750077
Idaho,2.297,2.47,2.665,2.336,ID,44.0682019,-114.7420408,43430.0,3603.0680505775927,584.1487634574084,,547567,2439,550006,3243,627,3870,1208288,10442,1218730,63266,31,63297,1835903
Illinois,2.307,2.645,3.032,2.405,IL,40.6331249,-89.3985283,67268.0,2558.858864110541,220.38032887313034,4.0,4617096,38748,4655844,34177,182,34359,5806097,60517,5866614,333943,— ,333943,10890760
Indiana,2.095,2.393,2.71,2.507,IN,40.2671941,-86.1349019,55172.0,2762.6192025212504,274.4561262757908,2.0,2258547,2893,2261440,7227,13498,20725,3627258,10032,3637290,250579,— ,250579,6170034
Kansas,1.863,2.106,2.341,2.066,KS,39.011902,-98.4842465,56334.0,2475.424156482481,160.0015037209096,2.0,983245,4014,987259,3961,2267,6228,1618733,9761,1628494,95892,— ,95892,2717873
Kentucky,1.984,2.303,2.613,2.33,KY,37.8393332,-84.2700179,46898.0,2938.521317948163,104.84114233788509,2.0,1659583,31502,1691085,1406,9353,10759,2439925,50273,2490198,101085,78,101163,4293205
Louisiana,1.743,2.048,2.346,2.247,LA,30.9842977,-91.96233269999999,53589.0,2550.1997961145744,64.52573488909859,16.0,1360611,28825,1389436,22183,6977,29160,2320545,54007,2374552,113664,— ,113664,3906812
Massachusetts,2.04,2.389,2.598,2.63,MA,42.4072107,-71.3824374,82480.0,4444.953585265174,464.48257953750704,,2204455,4013,2208468,13255,243,13498,2662640,11684,2674324,168931,— ,168931,5065221
Maryland,2.103,2.531,2.764,2.389,MD,39.0457549,-76.64127119999999,68573.0,3762.948362935414,181.94852196753965,,1977742,29162,2006904,15233,7739,22972,2167715,41730,2209445,118201,76,118277,4357598
Maine,2.054,2.379,2.638,2.524,ME,45.253783,-69.4454689,47969.0,4684.5820716924345,886.651762866716,,383228,4005,387233,1313,3026,4339,643010,8339,651349,51466,1,51467,1094388
Michigan,2.089,2.395,2.724,2.445,MI,44.3148443,-85.60236429999999,53209.0,2861.0681574754035,424.8843053350953,1.0,3233241,24232,3257473,3397,5340,8737,4947020,46380,4993400,258487,— ,258487,8518097
Minnesota,2.005,2.206,2.524,2.323,MN,46.729553,-94.6858998,64675.0,2603.181201853811,334.78182403732393,2.0,2129307,16880,2146187,14338,5642,19980,3243782,31148,3274930,241556,— ,241556,5682653
Missouri,1.837,2.063,2.325,2.007,MO,37.9642529,-91.8318334,51699.0,2446.3681575293585,321.4512161323418,,2122581,18469,2141050,27057,123,27180,3227854,34358,3262212,138294,— ,138294,5568736
Mississippi,1.713,2.0,2.323,2.113,MS,32.3546679,-89.3985283,37948.0,2636.5740337741877,282.03962002417217,4.0,820128,2736,822864,2023,5995,8018,1190809,7661,1198470,28124,— ,28124,2057476
Montana,2.007,2.222,2.471,2.171,MT,46.8796822,-110.3625658,46609.0,3238.26108520977,157.44645328221074,3.0,440809,583,441392,4538,164,4702,1104946,6223,1111169,256587,4,306655,1863918
North Carolina,1.965,2.283,2.599,2.423,NC,35.7595731,-79.01929969999999,54441.0,3569.5724154562845,262.4143467729177,,3271128,46790,3317918,11653,20840,32493,4458666,72797,4531463,188580,263,188843,8070717
North Dakota,1.974,2.175,2.39,2.06,ND,47.5514926,-101.0020119,72597.0,2730.503949056607,79.4608744126276,2.0,272290,4255,276545,1457,1874,3331,711318,13623,724941,51927,14,51941,1056758
Nebraska,1.971,2.064,2.402,2.156,NE,41.4925374,-99.9018131,63942.0,2548.1490409125545,517.2169552832019,,662491,14549,677040,13526,38,13564,1190469,28296,1218765,55716,20,55736,1965105
New Hampshire,2.016,2.397,2.643,2.526,NH,43.1938516,-71.5723953,63067.0,4405.635009596059,477.7867399085574,,502617,2764,505381,566,2305,2871,726620,5447,732067,78702,96,78798,1319117
New Jersey,2.085,2.473,2.663,2.524,NJ,40.0583238,-74.4056612,69378.0,4028.946361376853,52.89086695493266,6.0,2774916,23783,2798699,22867,2230,25097,3045425,35511,3080936,152979,— ,152979,6057711
New Mexico,1.969,2.263,2.507,2.373,NM,34.5199402,-105.8700901,46954.0,2965.5875806321956,322.0419775822907,3.0,601647,7847,609494,6071,207,6278,1043650,22862,1066512,57718,— ,57718,1740002
Nevada,2.519,2.719,2.892,2.584,NV,38.8026097,-116.419389,55269.0,3829.3459977773746,140.17709961349348,1.0,1039514,7994,1047508,504,2694,3198,1313087,15617,1328704,76027,5,76032,2455442
New York,2.218,2.551,2.772,2.837,NY,40.7127753,-74.0059728,85746.0,4074.711652883947,11.419430817377084,,4541749,21286,4563035,74639,5807,80446,5780052,41744,5821796,392176,2,392178,10857455
